#ID,Name,, E1, E2, E3, HW1, HW2, HW3, HW4, HW5, HW6, HW7, Quiz1, Quiz2, Quiz3, Quiz4 
, Overall,, 100, 100, 200, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100 
12777481, "Weber;  Rickie",, 63, 56, 185, 85, 70, 42, 40, 51, 81, 72, 92, 69, 79, 97 
13880965, "Werner;  Terrance",, 56, 97, 140, 98, 81, 93, 60, 84, 95, 45, 76, 92, 81, 76 
11582441, "Cook;  Alessandra",, 94, 58, 200, 44, 44, 41, 53, 60, 98, 95, 70, 100, 91, 100 
11653262, "Stokes;  Neomi",, 79, 95, 199, 33, 40, 56, 90, 36, 78, 83, 69, 99, 90, 70 
10335999, "Dunn;  Renay",, 69, 90, 180, 37, 44, 88, 89, 59, 73, 89, 79, 92, 92, 66 
17222588, "Fletcher;  Gordon",, 73, 69, 106, 42, 53, 35, 45, 46, 94, 89, 84, 80, 66, 95 
12602743, "Floyd;  Chanell",, 95, 91, 109, 59, 50, 75, 33, 61, 79, 58, 83, 66, 87, 84 
15750634, "Harrison;  Matthew",, 64, 72, 108, 79, 47, 94, 57, 82, 35, 42, 84, 75, 60, 69 
17272764, "Carlson;  Berna",, 83, 67, 140, 58, 75, 78, 71, 87, 68, 83, 87, 96, 70, 69 
12988631, "Chase;  Samuel",, 95, 59, 134, 74, 39, 39, 48, 49, 71, 96, 58, 72, 89, 92 
18347237, "Reeves;  Jacob",, 60, 60, 158, 41, 39, 40, 74, 39, 92, 88, 59, 95, 89, 78 
19949311, "Walls;  Rosy",, 65, 58, 126, 74, 76, 56, 43, 68, 49, 91, 82, 91, 70, 86 
11658558, "Allen;  Rick",, 91, 59, 127, 37, 68, 91, 89, 61, 35, 35, 58, 77, 66, 86 
15514268, "Moody;  Hector",, 85, 95, 121, 73, 84, 41, 62, 33, 91, 53, 82, 92, 64, 97 
10809052, "Booker;  Erin",, 73, 98, 185, 49, 80, 83, 99, 86, 93, 34, 73, 87, 78, 87 
10413470, "Stephens;  Dorthey",, 99, 66, 166, 70, 61, 76, 67, 74, 97, 51, 95, 79, 76, 72 
11103675, "Lloyd;  Eric",, 82, 66, 187, 73, 86, 68, 75, 91, 68, 65, 82, 78, 69, 92 
12966435, "Mora;  Gianna",, 71, 63, 195, 62, 93, 44, 92, 45, 100, 59, 76, 75, 93, 66 
19486714, "Jarvis;  Mark",, 80, 93, 126, 44, 75, 97, 41, 86, 48, 49, 98, 78, 75, 91 
14789024, "Lawson;  Nida",, 100, 64, 159, 95, 54, 74, 65, 97, 42, 62, 62, 87, 81, 93 
19351632, "Bridges;  Cammy",, 81, 77, 193, 63, 60, 35, 41, 92, 47, 72, 79, 64, 65, 100 
16498248, "Hart;  Wade",, 61, 74, 147, 37, 89, 66, 84, 52, 100, 88, 75, 67, 77, 72 
13022696, "Jennings;  Gregory",, 74, 58, 157, 45, 40, 58, 58, 42, 55, 59, 83, 89, 71, 56 
13574491, "Hutchinson;  Kathleen",, 72, 88, 161, 33, 40, 97, 45, 54, 44, 68, 69, 80, 89, 95 
13046460, "Fry;  Angelo",, 63, 89, 180, 55, 65, 93, 96, 78, 91, 69, 92, 78, 96, 66 
15240575, "Garcia;  Alessandra",, 92, 59, 139, 51, 69, 54, 47, 61, 78, 50, 97, 85, 91, 99 
16940417, "Kawkins;  Tory",, 99, 85, 190, 84, 61, 75, 55, 64, 95, 76, 86, 83, 96, 58 
14613021, "Mills;  Gilma",, 93, 56, 145, 79, 36, 71, 48, 61, 79, 67, 77, 92, 75, 89 
11397936, "Bright;  Erin",, 95, 83, 177, 66, 73, 54, 100, 78, 88, 50, 98, 82, 93, 59 
19306964, "Peterson;  Chris",, 91, 78, 108, 90, 66, 59, 64, 87, 95, 97, 82, 99, 98, 74 
15346233, "Ortiz;  Timothy",, 59, 72, 119, 75, 98, 89, 60, 94, 54, 42, 86, 84, 59, 64 
19762179, "Stanton;  Edith",, 73, 91, 122, 91, 51, 42, 82, 39, 98, 96, 82, 75, 99, 93 
12985225, "Webb;  Tony",, 91, 95, 174, 37, 91, 80, 60, 72, 100, 57, 65, 100, 92, 80 
17269141, "Pennington;  Victor",, 85, 62, 118, 60, 42, 90, 59, 75, 44, 60, 69, 99, 74, 81 
17897552, "Peters;  Melvin",, 87, 90, 126, 90, 100, 100, 97, 49, 50, 83, 73, 92, 94, 65 
12592611, "Howard;  Perry",, 74, 77, 177, 87, 38, 54, 95, 92, 77, 36, 63, 66, 57, 100 
